key,value
33184,95484
29308,75558
9292,70209
3359,93882
6425,76052
18029,65004
47621,63003
21899,87887
15476,65611
33662,96709
28595,53973
15409,63892
22924,86345
28477,52111
35219,94925
1658,68769
49360,76060
27559,64083
34032,51644
41643,81191
21027,68133
35241,88067
34770,65028
39617,55927
9896,65843
37684,66505
21951,97976
48698,99388
19126,70740
26753,53607
4105,70763
14474,52438
10167,66818
37590,98083
30717,82630
24953,85582
36637,79449
21993,82883
10007,70805
10370,96474
1547,97420
38552,82555
33097,77536
28487,90310
15819,70041
16513,83524
10862,99577
33403,97609
41154,83728
22672,78741
10725,81764
30818,65723
751,95017
700,61341
1053,96123
6488,77988
45198,56594
19234,65604
28118,83737
10515,63524
16476,52862
26876,58785
27795,77296
7543,80332
25279,54536
24383,92295
47285,98426
17398,60007
45157,76435
6828,58011
27323,74569
4437,71629
45933,73982
42316,79684
14550,89848
40080,65205
34290,95264
23777,70815
40526,65098
29742,89064
17843,91351
13087,96020
23456,54819
12391,88009
37188,62202
15248,62302
318,58370
34784,88490
1970,95698
44272,80389
41838,50986
36797,70572
17438,95682
48926,67753
17759,61306
47679,66656
42801,61973
18938,90381
7066,74502
37119,62793
5398,51829
21282,52263
19624,98589
25255,74271
29536,84812
14336,78741
8132,98607
20441,97082
22845,74935
41668,74501
4193,86781
23110,96533
12432,93515
21404,93718
10143,76381
26269,74360
19217,58732
30146,65811
4717,83174
34445,52709
13277,55410
25598,93829
43831,72679
40267,82641
21833,69964
34758,71360
598,87150
29796,98498
38807,54299
48830,72359
21167,63155
8748,64167
32126,68982
45058,68305
33701,80448
6082,74604
45314,51644
34749,87977
12617,61380
11383,69115
13734,73083
43640,81464
36466,74896
33133,55165
28171,90306
36330,94398
48831,77163
36974,74107
16954,94932
28670,53507
37005,68794
27192,93824
20569,62480
23196,99255
39724,62012
26571,57976
48486,77148
29736,67836
15849,92224
26363,53598
2796,65353
5331,96205
20032,88755
5590,63390
33057,98458
41984,89805
902,51382
1823,97825
45022,81863
49143,53181
17270,88640
16910,50543
2970,71653
18178,93594
5370,59152
41629,63823
48960,83051
5983,75121
29244,66885
26988,58173
49004,59011
36350,78354
36453,96443
45221,87747
27804,99649
49084,98955
5885,66317
16136,59256
14532,52649
43157,93310
45558,91939
15443,72427
41874,79877
32454,61649
13937,82043
14047,87091
47995,71243
48375,79676
13066,77887
15777,90616
18145,84626
23971,58983
47417,74980
33608,89394
42739,60590
41378,70859
18909,56151
36776,65440
46729,89740
46460,70055
29032,62489
40763,91628
31399,60182
3639,75987
49287,62926
48643,99789
30222,50712
8173,58652
3536,51667
45386,56341
7262,55396
11849,66266
46174,60138
3351,78862
20976,80219
16789,63617
39835,53991
24479,91185
29773,63033
36269,57560
8759,73466
12072,76941
7595,84471
10810,76983
1363,61903
45931,55387
44744,58306
32967,59711
5456,87388
5265,56496
27821,77239
41497,65905
17537,80507
21898,82217
9904,89545
27941,96278
42283,70153
40221,50079
30096,59837
14785,71149
37269,90763
36847,80009
22409,93686
3313,66979
40941,59794
576,82430
19403,83943
710,82804
48544,93362
42733,68145
49507,77393
24461,77405
2189,93206
14382,52876
18574,91683
28031,69205
32873,81588
10833,93699
3730,70527
15745,62616
3399,65260
7605,64212
6417,52412
34251,81612
347,82590
6089,65280
7300,69238
48476,59607
28510,61160
779,96544
32801,54480
42738,80532
39575,58711
269,92832
42786,98170
34999,78681
5283,88739
29434,75363
16143,61222
29741,51632
14190,78799
42511,76089
40066,98106
24164,99577
20656,68208
5957,88679
1303,50333
13990,71919
34368,62078
46300,94876
1720,94128
32956,77556
28253,96767
27517,75960
35788,53624
26823,52119
15343,80175
4012,54997
7642,70848
23147,98014
32601,97077
29798,73563
49944,75490
26045,59123
1993,90977
5045,76936
1740,72374
33510,90074
16473,70881
8153,86833
13700,87234
16866,95438
14791,64583
42446,94717
46903,77235
47922,51355
25811,90274
14745,79634
19000,84366
15390,60590
5114,82877
41633,99086
10102,60749
41779,54788
48060,92202
12984,52777
20900,55991
41163,94404
23150,70762
27712,59557
38573,69855
7169,89160
15090,83042
26937,99513
44300,90241
46179,76441
22664,56410
25353,85825
22763,85618
45573,69603
49705,74144
47094,77992
18100,57129
21305,80855
8945,88747
36676,87059
13920,89872
37398,64151
44732,79804
11077,93705
34191,91822
44895,82487
18034,95645
10046,96981
15742,62434
15983,84350
28489,83733
32169,77654
31424,87108
9285,97125
3763,59243
49023,81228
47235,90032
46782,50720
25207,99645
23372,58650
45494,86214
21810,53790
35759,99193
47917,51468
11759,53926
16640,83747
35250,89058
33915,54419
48238,91636
5159,67372
18314,62509
4953,83148
12306,84472
6812,99634
48322,67413
32677,96797
34502,74672
20726,84145
27942,88561
13677,83153
41830,56240
7077,91310
20042,92802
33890,55193
14458,67810
42457,92260
25509,52124
46414,94325
29478,73287
879,59906
13234,82670
28757,59133
40924,62435
42880,65508
7402,64449
45594,51749
17407,53403
18150,81014
43165,98595
47166,82319
23993,69137
48291,73014
6608,84589
7223,63852
9667,92982
14116,89936
12780,58917
5965,92111
49165,64308
17212,56331
7571,61233
34559,53332
44446,63689
6932,68775
6354,95869
9488,84778
34165,70318
29953,82246
15174,82243
23327,74556
11435,50268
14176,81070
18599,65630
38400,90445
8198,90778
9234,56241
48207,57807
44573,94770
24445,87959
30405,93564
15370,96886
20261,93862
14259,59119
33646,97005
45906,91697
895,55773
42618,84604
28736,55125
29918,94884
48815,71524
376,86140
45822,82626
48267,58990
2392,88759
20519,77529
27133,58101
20665,95635
23198,60128
12216,77843
33361,53738
45652,79514
33581,94214
29,84552
31988,86550
34059,94408
28274,75751
3175,53173
16983,69339
42551,88377
25197,93695
4671,79971
29983,78492
36233,64360
35388,69320
21814,53715
39367,99097
13794,79869
40415,56722
20220,87783
10308,86738
8810,98444
45542,83689
29022,67894
40031,70883
36790,79102
27417,60858
6432,63627
2450,50584
12773,95022
49537,87717
1152,53183
26410,58261
17896,89619
45812,82461
36471,87430
26338,56183
4580,86454
5893,82186
26561,66929
23803,71916
41493,72794
16465,68986
26456,72902
46166,74938
45895,94644
7007,56105
10008,65266
19192,97355
28201,59742
4544,92360
17227,52791
27769,74930
7917,59597
13442,65515
37667,81706
21403,95731
32735,80685
38803,68470
35677,51319
13211,70762
17157,72106
23473,91353
107,74057
24470,89285
21994,98188
29735,65820
6321,78235
18147,78176
34992,88442
5909,73926
34783,68548
38371,89943
45862,80785
44775,83953
43238,72211
39285,92548
9563,86273
43647,54619
20858,61052
11944,97245
16208,99021
41797,90218
23380,66125
40099,87480
1016,86263
48400,71760
6519,90249
6341,83889
12758,86172
49099,77961
45253,72020
7686,82772
40679,99556
41084,78869
31578,69111
20374,83408
14397,69565
13186,70156
10297,73676
26125,71141
1857,55361
13236,53819
4157,90619
45836,61265
30128,53953
38699,86443
15708,89151
11092,67528
22971,98223
28700,61219
6639,52065
26855,85565
29571,81569
31063,79820
37149,78084
46125,67407
37368,99676
44495,53751
25770,61476
34990,55256
13785,80217
7356,91138
21719,99448
20591,66854
30322,85845
48044,83952
6429,72668
40007,98932
6563,71159
13661,57359
28305,73582
46977,84442
38548,86668
38116,70481
10062,54552
16814,90643
19596,82627
27279,96142
11392,97891
40531,55364
7865,87287
7143,83961
6112,81527
14662,54955
7690,56272
27758,63269
44503,62900
34120,54997
7503,82176
32930,56236
12287,60270
474,58257
11968,57332
18832,64462
46770,58543
36081,61002
49712,91809
16178,64015
30682,50791
19364,57681
47673,54345
5851,68358
4844,55625
19555,66576
4145,58474
30845,73292
21594,93741
41481,96644
7497,88547
20387,82916
38205,86976
74,79526
28342,93630
37266,97280
45232,92328
13251,66955
7162,58471
19096,54789
24537,51274
10706,56768
42157,72147
22805,60330
28260,96125
22286,99281
38,84693
18292,62985
27620,61663
3196,89847
10144,82457
2648,66488
49809,74323
46384,65795
6975,59075
488,64220
4311,91247
42990,72963
4095,71526
18618,65118
18430,84394
49799,51905
2192,98543
41124,54907
37505,57725
36709,82872
38051,59797
19616,51443
46876,67997
43248,77277
27703,77211
34264,77902
27684,70989
44174,54251
35249,51863
44222,53174
5015,55918
28597,74592
4025,92357
31733,62279
8550,73819
1399,93557
2481,86314
41883,58744
41336,60764
34266,73877
43173,86416
24290,95143
6834,84145
42715,95342
12806,75022
38338,94473
5532,73309
42304,99659
38320,50047
22173,54636
41941,86144
33529,86771
11010,65699
23493,62082
33963,62497
31349,56060
17301,91863
22803,85602
14817,72824
20064,69179
27326,50749
19478,99543
15710,79899
13293,91542
39879,57054
2520,96157
2034,69101
20207,79213
6306,62469
42250,84206
7009,87448
28275,50420
46696,89677
6076,87336
16544,80893
10923,63172
22598,64744
15265,50268
41773,62428
21524,67887
23189,84203
9933,91028
31251,63310
31262,91313
15905,75747
33193,55003
25912,96856
42335,83617
48746,65331
21878,70624
28863,92490
40453,96537
10285,86808
6351,75357
17179,50596
2471,58298
23713,84475
41995,93234
15616,76076
21515,91855
37736,67651
41945,89084
17751,78515
28185,58325
1041,52255
24123,99880
36846,89992
9873,63247
13818,56039
6420,60794
46473,82363
23929,76140
44913,74197
27309,67140
1541,54215
2918,90792
10656,57372
17764,62638
21584,77841
30545,73974
1544,96904
39133,89778
33249,80325
26620,93966
8970,92565
45798,69413
33974,91498
16260,90708
16275,54922
249,66436
8167,78383
7858,92130
13156,76213
38442,87837
20058,66261
36097,92726
7231,67601
24092,85068
36578,73933
5463,96860
21132,90638
29043,89350
49902,77992
18324,51384
12003,94557
25264,69562
21340,90221
24405,80427
8890,62173
28356,61273
47819,54287
36873,50867
20652,54016
31348,94709
32909,94503
21185,81397
48006,78367
17141,64719
25663,77267
34008,84248
3958,69345
25085,80695
43335,90545
10313,54095
45586,87869
41122,97535
17992,89875
6197,85046
38378,97340
31036,84382
5191,72890
14237,64267
24119,76175
19832,70773
28760,91625
28484,93966
36328,98616
24260,99909
12835,77611
30320,69246
1473,60534
8864,76717
33577,69306
9288,84427
43514,87266
16673,51265
32249,99384
32158,62876
36663,68652
18808,72656
46557,82269
2240,94402
47155,87064
351,95939
6296,81153
32030,78777
31738,94791
4775,64522
438,93599
40613,92464
46464,54494
14050,63017
32328,50207
31868,60329
23297,63781
14071,88536
7198,74909
26594,50437
49080,80893
25899,61760
44187,65024
43181,50763
10504,93183
24521,70784
49870,95380
37026,71106
39099,71161
21752,58433
3661,76489
41454,56839
22484,69862
290,84634
28227,61605
3398,81907
9157,57597
44358,75364
28562,92514
4599,51322
29644,59310
35066,51331
34499,56606
25470,87425
27604,97014
27489,84083
11921,56770
27853,69088
42289,64851
33207,82590
20223,88834
36674,68981
11915,65507
40611,78985
22447,66557
36731,97747
3245,64175
25428,61338
19093,69834
16625,75133
23665,55492
49166,51680
23027,70300
30215,68687
38912,72565
11964,65701
18518,96680
42359,79268
32566,56874
32404,50080
5400,89465
20737,84121
16630,70322
25067,53237
26023,96195
2413,59860
19301,71153
24922,66942
19767,92434
36713,92419
17397,88337
7318,86817
15227,73050
15862,71829
37989,55089
45902,99794
2625,66928
21496,77012
41420,60608
23707,80255
27676,96236
1817,79945
26804,76211
9002,99960
45409,53077
32969,90929
20648,85177
41870,66267
17444,82777
5414,99791
14034,95836
6902,73964
8976,64533
18946,91875
36653,59899
45569,55190
27010,72225
17642,91356
18971,79537
14288,85763
39535,72627
23474,85164
35961,78369
4244,86349
9682,87558
8698,60631
26497,94781
38023,80128
20860,66392
12998,89014
33868,97033
38681,97625
11470,87589
11389,64864
45318,58920
38255,76554
21811,68513
41038,99961
38094,75661
3099,50965
17958,65294
21247,64639
44977,57664
41414,61240
23824,71993
12901,63894
42878,72311
37051,57810
39796,81773
42095,83053
47257,93051
24209,78389
17087,68884
4820,82103
10895,70956
38878,72720
31771,77508
10660,63713
5873,72122
47167,90476
14852,61393
13872,73209
116,87289
34871,67712
45391,95180
48306,91073
16445,92818
32784,85467
17875,75492
22435,84992
1310,93632
33824,99674
5660,59774
32929,85215
43551,52162
1586,57598
4162,90978
37656,68397
46347,87435
19572,98956
758,76183
19870,89322
22370,67244
22991,85691
1359,54176
20617,61925
16170,80459
13135,82999
32233,74454
19263,86530
32981,74649
37270,90215
36840,68693
5096,93390
44700,76084
40771,59583
49429,68461
1177,94258
35462,91423
15729,51987
44364,82793
5573,60215
16216,80287
30700,89448
45817,53602
45356,79578
14025,64654
2573,73302
13694,91557
35878,73136
6572,54784
4768,72649
40660,82026
21025,57066
39771,63501
34960,74450
31498,79389
13903,86777
17490,85749
22846,66987
8718,57525
43104,79197
45524,69520
13496,77399
30856,51412
47046,54618
32726,80168
32858,84585
7071,86977
15547,85708
17791,58271
19423,68700
35536,80794
5816,60536
49489,95796
8466,91955
25229,73326
9764,98956
35954,79361
40094,66274
44932,85998
14997,98672
42711,57263
26147,92275
41545,99442
45324,98676
38566,89593
23901,55650
29985,73453
43535,90506
40260,58474
33911,52666
24350,93704
33837,96791
46391,59035
15464,51775
25544,70749
38504,91458
47006,68563
30301,56909
10333,72477
9346,75835
2029,87262
32725,55328
41391,82489
40177,98764
3085,88558
46792,54422
41217,64546
16726,59708
3994,57630
32027,95694
35812,74660
47416,68253
26204,50538
157,81635
3956,88270
4132,60164
19139,95870
46007,79934
31142,99201
1300,61187
19647,78890
1922,92172
1706,97726
43321,83639
41706,82337
14879,51566
10831,93937
206,61649
382,66222
21963,60648
4187,98332
15016,64350
45429,83789
12426,53726
38815,56699
6909,54131
19251,50702
43225,58796
48531,77080
40567,93432
4957,97669
14625,51008
38361,53417
3457,93045
12530,70911
26817,85698
26355,93213
34160,67413
30849,78066
11154,53078
17142,97504
32501,96097
20041,98939
24554,94838
3791,65872
29341,62730
16046,81294
1043,64020
17749,54869
14692,81408
25591,79820
11468,73595
1193,84066
30764,77553
41253,73532
306,77231
29235,93204
14150,78646
9963,61259
39992,72021
40165,56461
32788,51770
48155,67159
5610,73783
40225,59203
3782,51086
20549,75334
24218,90282
27179,77115
20352,88771
8089,62200
17516,80309
45976,95312
34091,61218
13643,87242
36140,64476
4043,76332
41831,54346
43954,57989
35639,69812
39038,71293
35310,67607
48302,73037
37964,65833
27708,86859
31682,73973
17009,97480
25043,76549
22465,67951
37726,89572
44665,92303
46100,67519
36013,73054
8222,84747
6576,66543
6290,74278
35244,75490
42759,55714
13763,68222
4892,83747
42018,52872
4586,71513
45854,97902
39042,85622
22727,79290
5014,99130
38620,85666
34899,81349
37849,61390
43683,60077
11532,95505
2876,93368
21200,76695
9985,57649
5593,81624
20672,70138
36105,62741
1266,95059
34797,91628
39627,71919
31510,84297
45704,85702
37192,63221
250,75316
8611,52063
2131,55923
40757,99481
6463,75464
8953,81970
2365,84304
7407,75858
35916,87677
32968,92430
38170,81551
23435,53972
32014,65099
43749,76552
44591,55577
1697,93511
38411,98478
39220,84764
15882,84240
40435,68024
18815,77436
19204,98884
26851,62550
39255,55785
43091,54172
48424,77869
19705,90088
39175,58977
26863,94310
40900,97789
32940,97736
39965,92097
22780,70841
43362,93029
24245,65980
3295,77719
4373,95461
24488,76173
31870,51221
33151,66780
27595,61158
38333,62229
38971,84174
49606,94340
6011,81723
13083,97148
8327,78423
33666,85652
49718,90542
16810,94329
29200,50643
38105,71317
23007,97821
41856,85137
44870,50215
40751,97078
35574,79399
19663,76644
6049,51506
37380,81308
15690,52349
20841,84603
42398,60481
18420,92019
16030,52451
7627,97982
8020,63931
24944,93942
47551,94330
33360,72928
40231,57994
12568,78897
40906,67608
48914,98521
9073,96311
2372,92700
38160,78170
16982,83584
49688,97962
24175,88561
18512,61824
44071,82701
39932,78148
12260,63154
30785,60969
5053,94219
15169,69380
45705,73205
39825,79449
37048,58822
5570,78428
31542,84459
18775,52561
14210,72021
13513,54738
29517,70917
38526,63452
11159,51130
20363,66398
41189,60792
8799,91908
17678,68787
21638,74630
36410,73123
15730,62277
44509,77112
41181,63738
35331,93013
25263,56436
20453,56926
32754,59741
25541,72993
10500,98360
10459,88964
6281,70846
47761,52277
23573,74242
30093,75570
38661,66436
14640,64201
43821,63294
613,82596
22981,61289
29495,84749
1767,59506
47746,98462
34984,60095
44778,56731
14295,86846
34737,97873
44761,83835
31898,93565
13221,53623
24162,91707
5574,95477
30699,71290
23102,95510
44854,93918
2294,98895
914,91475
8349,54946
32302,56790
22373,90816
46358,92773
3812,68217
37400,82616
4536,50909
39553,78066
34116,99689
43953,69412
49433,52769
28142,92203
20850,96209
24335,95813
49101,83630
23594,79942
38026,51513
44468,91326
24829,99701
30206,68095
38943,59279
29159,53072
29758,74409
47072,96785
26247,64286
5942,81574
40212,73872
24516,56604
22294,73139
49939,52912
18932,82620
42522,58234
37644,62504
43969,84861
29300,60927
5086,56511
7833,88386
32050,77106
10917,59901
47107,92665
49204,58012
27077,73980
11196,90856
22214,95610
6235,88001
29606,90771
44294,96724
8825,85895
18328,73710
26833,58964
20934,51888
23135,65392
22147,70757
29347,84159
36286,97560
32498,77033
42883,58924
16155,73086
4521,77556
12926,69043
15770,96834
37979,98558
44661,91922
5659,69289
9774,92080
28083,61544
46233,78707
12859,82176
7105,81366
9923,93239
36814,93677
10997,82841
25547,58817
21884,50287
2384,69054
6656,97686
20602,87849
4069,95229
38346,57311
28959,88511
20563,76549
29102,96220
3756,92707
12011,92440
28034,75369
42702,72914
21202,57185
39842,70976
44953,72388
12582,60554
25682,79976
47054,93540
23345,83681
1564,82720
22464,60079
48036,58866
46510,88890
5036,51603
22734,71823
25018,57167
8292,57823
30714,66316
36692,56245
32745,82228
33369,52093
13955,83046
8077,89031
33373,76559
46410,61715
49342,73207
41901,62513
29705,89055
27313,74755
38968,56895
11841,53692
14079,53926
42648,50440
33813,68644
24609,96363
5147,66751
21343,83731
7791,79161
15107,73498
23485,50851
14362,87646
45666,91191
20085,93223
9198,77122
33374,81903
947,85402
3755,90701
8231,67422
17036,58725
46773,96048
12005,73261
8114,57416
12108,74682
35937,93328
34541,80788
42701,99769
23679,56654
4952,88928
38204,90484
35206,74706
395,56206
1719,53779
22429,63970
39009,81007
16939,99748
32177,63298
42443,91731
6822,63947
27106,50912
44812,69064
27090,77794
46368,80642
9446,68588
16339,55096
43719,83691
2195,81577
30685,89660
15297,60580
14703,58720
12800,65377
47004,62557
21916,80034
45928,85148
38309,51712
3106,57201
15479,67591
18405,51714
11127,58939
42939,65074
1563,83325
25480,93529
10379,78769
21383,55005
19806,82798
10398,66233
28296,93474
17693,50439
4535,99816
4545,72018
27952,73486
13918,66789
26336,70618
18090,62422
30544,79880
39029,96004
8433,51040
25952,62553
27969,57752
3019,82039
35057,84170
8805,94120
12577,74525
28173,71393
31526,81125
36622,95291
39964,56754
10461,87318
17771,99304
19395,56351
32427,71894
7806,97084
15759,95798
7672,52872
8493,76589
9755,68485
11186,98169
31571,78001
47637,74954
20497,94441
28312,57116
36174,64297
7725,80076
34975,52587
10215,53921
33394,55530
49877,78447
46486,95358
38108,98120
37014,78144
32648,93022
49957,70909
33199,93956
47776,95948
4094,79384
23020,90965
23825,56758
9183,58866
15937,77727
25875,58224
46248,90022
28016,74262
20400,91596
16484,83679
10456,90052
29629,88969
7237,54491
23599,52022
30899,53264
10184,59202
29393,53026
33117,83810
27601,84516
28331,71650
23307,63222
33114,94644
13116,62571
18685,89398
29871,61986
37998,55327
33867,83649
39752,67873
13440,51949
15473,75749
43534,76601
18268,95967
30290,55099
20583,58366
27663,96403
34179,90539
20669,61975
46133,98579
44731,61549
24665,87089
12055,92611
19977,87650
10401,70524
47052,54081
41443,74209
11071,52166
17616,72341
22844,52576
292,61421
48712,54598
24110,91468
11846,90111
5516,87174
33618,77024
49445,72901
23602,76145
11771,87843
17437,87368
5235,62297
45940,74247
7418,70653
36998,88296
13046,86490
44291,64402
41696,54753
45834,67438
7380,67648
694,57484
36960,78364
6573,99578
39419,55929
9349,51978
49934,81340
33208,90908
16067,52869
774,67677
34024,55354
15925,67580
46383,89710
9418,96936
48396,73662
24111,68452
48506,70863
41416,53792
22293,68636
13449,78128
45026,65422
11264,62988
17389,56614
12509,88040
26076,73918
31843,97764
14168,76087
8468,74608
46246,68397
40464,84557
36690,60468
16437,54088
12987,62496
15173,70133
2252,93012
39040,65719
40646,61607
39283,95088
33516,97069
22716,91872
46954,96144
21688,70136
39361,56980
11554,94192
22257,76396
14073,68942
3862,79478
36282,81009
37025,59647
16928,54920
10627,87280
13709,92241
30945,91992
1991,53612
19801,72935
39623,61328
28507,99264
23973,86767
19553,83277
24969,80385
48898,68875
7227,88023
38810,90302
5131,83096
7514,53346
28380,61713
15936,84456
9084,82780
46682,50483
30555,77677
16889,72532
13391,77695
14812,58189
47065,89444
22650,66336
8879,81310
24758,57082
2451,86218
6050,69603
42754,83198
1380,73684
33450,90261
24725,80517
49990,60473
43661,77412
7461,60616
9685,54646
37863,67400
4629,70343
29409,94203
12580,78790
19170,79054
25535,70041
43363,58040
18901,59677
49491,52154
27268,65011
13398,90481
10171,70600
31534,90609
31297,67673
29564,91140
27509,52086
19174,67834
1686,63985
3952,63956
30672,52598
42494,60308
12034,68917
21054,54745
15222,72628
17146,60327
49702,75507
17163,98965
20339,63240
43834,68068
22560,94133
45913,83981
31039,81708
10324,97506
36230,77600
37463,92198
19746,82645
17411,94498
36473,64451
26060,75735
991,50081
41730,80543
1026,68018
38125,88854
23868,88298
37541,54445
31121,69812
12635,92248
16853,53368
35799,66017
14790,99411
1205,62056
42647,88290
407,59508
35723,73165
24127,64426
38398,84271
11388,52726
14546,74365
7902,79411
48961,56693
37943,86087
35101,97957
19052,86021
2557,55792
32715,55922
31017,50905
33179,66001
42171,66597
19389,66893
39420,97451
6467,81132
12912,68735
22345,95260
35707,58560
27547,87257
44416,50178
28020,96978
33238,82918
32007,88616
27639,96363
33631,68093
39507,56182
12010,72084
47601,76658
31476,90068
1557,69979
31192,92665
47970,83142
29665,87042
23505,52973
1490,89089
17757,57495
47454,71416
33554,59929
6970,51436
35021,51361
47514,95729
42688,97740
25230,65465
4695,51172
33805,71169
44619,74331
38168,93352
33234,86002
44168,76053
27764,93675
48684,82600
27093,85742
14522,55208
39106,92557
38405,54715
20524,60293
36975,72788
20749,98911
171,82840
21342,71350
10891,71303
10713,91936
7257,72295
42769,52258
40639,80058
6600,51202
30225,55576
4072,97922
29396,55140
25144,93328
19489,52999
49386,91351
21014,73004
16040,51133
4492,99919
4323,55730
34385,96405
8138,93315
14085,67017
11309,87033
29927,99677
45137,65485
44786,51390
19377,56488
16203,79763
37641,89810
29439,75808
46031,62622
42809,89154
29410,83141
33038,92754
16868,64308
31803,51455
30523,84968
45679,54635
43627,88352
19543,92716
1202,71404
32643,66774
39497,81306
41976,50337
18722,57167
8919,58938
1475,85792
36077,91165
44863,61719
38372,57079
30954,72723
41843,65461
8646,72319
44628,74725
23012,88949
48237,72043
24899,54651
11899,58799
36283,50315
40877,84348
34740,92166
34033,86609
44818,74364
29957,50479
46625,69695
10128,60502
40904,95886
41974,58423
26066,95485
23043,76183
19169,58650
4792,59778
18149,72354
7797,67044
33366,76661
21364,99254
29609,78662
29689,97098
38534,52544
3530,63761
45100,60956
24220,73716
6617,80412
37157,78031
2565,50059
32486,66468
24407,82809
12769,67553
26821,90210
18767,74292
45525,61977
44233,94898
23590,71906
34690,79662
26534,87025
37120,77363
34561,91953
2626,67402
29453,89152
8136,86879
38752,89834
23949,59835
19245,95793
34253,90051
4723,57077
48917,95039
3863,90384
30048,83122
7255,89312
48054,91898
28467,57821
35070,97866
14212,90455
4956,98364
12508,92220
40748,72977
39748,56535
35350,66609
44448,99712
13362,77104
25793,98212
20969,67705
1447,55378
38922,94907
23682,96476
9828,58347
34233,59290
10857,51280
43649,77931
3201,70321
18041,93144
13884,67541
28935,98407
4505,82803
29967,62130
14592,51416
38289,91400
43210,90609
19972,74152
22197,96369
38836,68923
18441,83062
3203,83034
28195,66970
127,60595
22925,83722
34847,61177
13881,71189
2488,57360
8270,93645
18852,87701
3848,84646
40295,91027
44708,85732
21155,92426
10223,98057
7700,84701
41463,59254
33444,65664
10246,76465
6926,56664
35349,67739
16524,88976
13128,55970
22731,72100
31285,90757
45501,57634
46616,88110
25376,61099
35018,58472
24605,99648
47511,72289
9613,88147
31401,72543
31871,99248
12654,96315
446,50635
46116,79931
34110,57617
44195,58874
45742,67323
43510,99053
46054,99780
32113,84185
36647,74340
25927,56733
35509,86296
18356,92564
20901,92236
16582,64531
45552,81953
49747,70043
46802,72413
23288,83858
29695,60389
36176,74884
2577,85359
17942,99956
18905,96747
37847,69751
14600,56729
35487,69469
9526,95836
26853,94433
15792,81282
39961,59779
34606,73840
11098,74939
37654,82331
39335,50341
21701,67217
41316,94228
32172,71513
18427,93853
1726,71982
5071,61994
15115,86277
41203,80214
31635,52748
10580,72227
7149,98427
41807,72558
30278,91437
6751,55010
37802,69464
19470,75009
7291,76544
3925,54909
30626,97384
14735,92177
43808,91189
36036,79509
13797,54443
3608,85741
38494,69136
26820,88244
11811,52317
1008,60500
30129,94833
9384,57723
15084,55208
24982,95199
15308,76289
17511,89142
31573,98301
28379,89268
10079,88535
23301,78376
1454,85248
45664,70977
37629,51013
8851,63624
18684,83113
41933,75710
39721,84660
10231,85055
49494,61786
6626,58843
45086,74786
24904,79645
19630,54895
17961,78274
38679,78176
34061,85101
31989,84638
33693,72256
30794,84135
28376,57882
31790,71335
14333,93134
5888,62770
48873,54701
44956,71002
25550,67287
14744,84361
5140,75655
30804,93135
10384,88393
15667,84529
48075,61649
41912,94152
24948,67378
34094,72485
31804,88645
33537,51459
46497,61053
1499,59987
13860,84577
17071,55183
28925,63694
36308,97492
31757,82632
25619,63980
40882,60357
5,92700
45061,78060
15414,82455
26331,60836
2484,91406
19802,63451
29989,54948
48801,71635
11193,72068
